run,cusum_pos,cusum_neg
1,0.0,0.0
2,0.0,0.0
3,0.1476885381006925,0.0
4,1.1707183945087172,0.0
5,0.4365650197853812,0.0
6,0.0,0.0
7,1.0792128155073915,0.0
8,1.3466475446603008,0.0
9,0.3771731587253493,0.0
10,0.41973320231131606,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.5867197553422026,0.0
15,0.0,1.2249178325130332
16,0.0,1.2872053617540056
17,0.0,1.8000364820884287
18,0.0,0.9857891494931565
19,0.0,1.3938132250143687
20,0.0,2.30611692634966
21,0.9656487689215547,0.3404681574281052
22,0.2398724684350193,0.06624445791464062
23,0.0,0.0
24,0.0,0.9247481862134559
25,0.0,0.969130910738639
26,2.6109225897098636,0.0
27,0.9599290122875601,0.6509935774223035
28,0.8356270306332316,0.0
29,0.0,0.10063868991880431
30,0.0,0.0
31,3.4982933877706017,0.0
32,6.450571572279543,0.0
33,7.537074347541608,0.0
34,8.07936341858571,0.0
35,10.501908330688899,0.0
36,10.881064680717879,0.0
37,12.689928275722634,0.0
38,12.33025815184286,0.0
39,12.60207210294443,0.0
40,14.398933338813553,0.0
41,15.137399918808963,0.0
42,15.308768199998934,0.0
43,15.19311991761069,0.0
44,14.8920162220214,0.0
45,13.413494231653974,0.47852199036742693
46,12.693650023259266,0.19836619876213524
47,12.233011252299477,0.0
48,13.290133478518392,0.0
49,13.633751768086853,0.0
50,11.870711612724119,0.7630401553627335
51,12.194795582118914,0.0
52,11.809713301702597,0.0
53,11.132791301396638,0.0
54,11.744467590237505,0.0
55,12.775467112733454,0.0
56,13.70674723184965,0.0
57,15.867529708627014,0.0
58,15.558317332775797,0.0
59,15.889580764179357,0.0
60,16.865125891301716,0.0
61,16.385951653456427,0.0
62,16.20029267679261,0.0
63,15.093957702786582,0.10633497400602865
64,13.897751078705912,0.30254159808669945
65,14.710276901100109,0.0
66,16.06651692967093,0.0
67,15.494506808090595,0.0
68,15.99803970598262,0.0
69,15.859675731030258,0.0
70,14.714555976425135,0.1451197546051235
71,14.575951581933548,0.0
72,15.613988148399518,0.0
73,15.078162109289565,0.0
74,16.142805765103567,0.0
75,13.023060661013824,2.1197451040897435
76,13.34496316538905,0.7978425997145187
77,12.93201023362722,0.21079553147634789
78,12.133002883161353,0.009802881942215347
79,11.724763659696857,0.0
80,9.237194745095964,1.4875689146008924
81,8.517522857258452,1.2072408024384038
82,8.374635428770198,0.35012823092665757
83,9.352529473511712,0.0
84,8.334259255238067,0.0182702182736465
85,7.025765652344878,0.3267638211668342
86,6.024008608760342,0.32852086475137066
87,6.439410726462415,0.0
88,6.268161836122101,0.0
89,5.238401632355064,0.029760203767037918
90,5.25166906546842,0.0
91,4.848746614816461,0.0
92,5.317391605349351,0.0
93,4.1153385114719985,0.20205309387735282
94,3.2876763648742293,0.029715240475121973
95,2.3955682117420714,0.0
96,0.4320532636099528,0.9635149481321186
97,0.22817354067453044,0.1673946710675409
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
