run,ewma,ucl,lcl
1,1.0248357076505616,1.045,0.955
2,1.0184859231087375,1.045,0.955
3,1.021265623867997,1.045,0.955
4,1.0322427976584778,1.045,0.955
5,1.023452704379549,1.045,0.955
6,1.0164207939341474,1.045,0.955
7,1.0289287633023918,1.045,0.955
8,1.0308173579334428,1.045,0.955
9,1.0199591424874048,1.045,0.955
10,1.0213929144257836,1.045,0.955
11,1.0124801546125024,1.045,0.955
12,1.0053268261542994,1.045,0.955
13,1.0066810836391,1.045,0.955
14,1.0162120644647021,1.045,0.955
15,0.9957204732466314,1.045,0.955
16,0.9909535033048954,1.045,0.955
17,0.9826344914405722,1.045,0.955
18,0.9892500664784105,1.045,0.955
19,0.9823198124275163,1.045,0.955
20,0.9717328129286602,1.045,0.955
21,0.9920427380321437,1.045,0.955
22,0.9913764274208496,1.045,0.955
23,0.993776423983559,1.045,0.955
24,0.9807736573247127,1.045,0.955
25,0.9791750986145185,1.045,0.955
26,1.0144493047887135,1.045,0.955
27,1.000049508056748,1.045,0.955
28,1.0037965866288552,1.045,0.955
29,0.9970308824038961,1.045,0.955
30,0.9947077684251842,1.045,0.955
31,1.0357491486178534,1.045,0.955
32,1.063122100739372,1.045,0.955
33,1.0663627083441183,1.045,0.955
34,1.0635130573857356,1.045,0.955
35,1.0800358950296205,1.045,0.955
36,1.0728202795239863,1.045,0.955
37,1.0813448595692368,1.045,0.955
38,1.0664791864165917,1.045,0.955
39,1.0609014886442891,1.045,0.955
40,1.0716898032741224,1.045,0.955
41,1.069736508419252,1.045,0.955
42,1.0625028895473014,1.045,0.955
43,1.0538458288139587,1.045,0.955
44,1.0450656260952742,1.045,0.955
45,1.026267280972545,1.045,0.955
46,1.018815382694089,1.045,0.955
47,1.0154459184456732,1.045,0.955
48,1.0279279570187279,1.045,0.955
49,1.0307785485106669,1.045,0.955
50,1.0119924372549063,1.045,0.955
51,1.017834789497873,1.045,0.955
52,1.0154170087941352,1.045,0.955
53,1.0105643870322487,1.045,0.955
54,1.0195682725142077,1.045,0.955
55,1.0309646132363257,1.045,0.955
56,1.0390844917802227,1.045,0.955
57,1.0578754181919519,1.045,0.955
58,1.0482082107950494,1.045,0.955
59,1.0468792029500753,1.045,0.955
60,1.0522588136312838,1.045,0.955
61,1.0420153085265742,1.045,0.955
62,1.0367556570546212,1.045,0.955
63,1.0233411759036368,1.045,0.955
64,1.0117108744821028,1.045,0.955
65,1.0224939578096244,1.045,0.955
66,1.0365575665334077,1.045,0.955
67,1.028525952010923,1.045,0.955
68,1.0328560905876587,1.045,0.955
69,1.0299012327206034,1.045,0.955
70,1.0174697886304316,1.045,0.955
71,1.0175897869594295,1.045,0.955
72,1.0294521952322033,1.045,0.955
73,1.0232034957946632,1.045,0.955
74,1.0342092331938706,1.045,0.955
75,1.0011699355141992,1.045,0.955
76,1.0091549734551117,1.045,0.955
77,1.0081944494464712,1.045,0.955
78,1.0035654860525183,1.045,0.955
79,1.0037699966073697,1.045,0.955
80,0.9831403081398868,1.045,0.955
81,0.9843155276335345,1.045,0.955
82,0.9910235478219451,1.045,0.955
83,1.0075977787049712,1.045,0.955
84,1.0008955207812407,1.045,0.955
85,0.9926314805960608,1.045,0.955
86,0.9890876140410033,1.045,0.955
87,1.0004241124098234,1.045,0.955
88,1.0036268010244556,1.045,0.955
89,0.9976038387818942,1.045,0.955
90,1.0032157453566488,1.045,0.955
91,1.0035433717787994,1.045,0.955
92,1.0125211473283686,1.045,0.955
93,1.0029963869239213,1.045,0.955
94,0.9991204880731595,1.045,0.955
95,0.995375308927206,1.045,0.955
96,0.9816650976604436,1.045,0.955
97,0.9882932808990007,1.045,0.955
98,0.9932451774409996,1.045,0.955
99,0.9946472765192244,1.045,0.955
100,0.993371949881628,1.045,0.955
